time,spawnrate,playerspeed,performance,prediction,mod1,mod2,paramcost
3:4:59:528,600,10,0.5,0.789344795,200,10,0
3:5:1:268,200,10,0.5,0.259251168,200,10,0
3:5:3:111,200,10,0.5,0.772539231,200,10,0
3:5:4:879,200,10,0.622459331,0.482325118,200,10,0
3:5:6:643,200,10,0.817574476,0.982491076,200,10,0
3:5:8:452,200,10,0.880797078,0.980943782,200,10,0
3:5:10:243,200,10,0.731058579,0.976130722,200,10,0
3:5:12:129,200,10,0.817574476,0.971509974,200,10,0
3:5:13:966,200,10,0.5,0.947286423,200,10,0
3:5:15:820,200,10,0.731058579,0.913795855,200,10,0
3:5:17:654,200,10,0.5,0.684468541,200,10,0
3:5:19:403,200,10,0.817574476,0.897290343,200,10,0
3:5:21:249,200,10,0.731058579,0.805900996,200,10,0
3:5:23:57,200,10,0.5,0.291242712,200,10,0
3:5:24:923,200,10,0.5,0.76591522,200,10,0
3:5:26:685,200,10,0.5,0.249279941,200,10,0
3:5:28:460,200,10,0.731058579,0.960787739,200,10,0
3:5:30:352,200,10,0.731058579,0.94186613,200,10,0
3:5:32:119,200,10,0.880797078,0.932507476,200,10,0
3:5:33:887,200,10,0.622459331,0.845468099,200,10,0
3:5:35:688,200,10,0.622459331,0.581087415,200,10,0
3:5:37:521,200,10,0.622459331,0.689829243,200,10,0
3:5:39:374,200,10,0.5,0.249182669,200,10,0
3:5:41:204,200,10,0.817574476,0.97899927,200,10,0
3:5:42:939,200,10,0.622459331,0.970636836,200,10,0
3:5:44:798,200,10,0.731058579,0.960065426,200,10,0
3:5:46:637,200,10,0.622459331,0.929547255,200,10,0
3:5:48:404,200,10,0.731058579,0.878938108,200,10,0
3:5:50:229,200,10,0.731058579,0.779868962,200,10,0
3:5:52:4,200,10,0.731058579,0.707889618,200,10,0
3:5:53:803,200,10,0.5,0.258526985,200,10,0
3:5:55:644,200,10,0.731058579,0.952356306,200,10,0
3:5:57:464,200,10,0.5,0.888372068,200,10,0
3:5:59:236,200,10,0.952574127,0.913468361,200,10,0
3:6:1:70,200,10,0.622459331,0.792001072,200,10,0
3:6:2:925,200,10,0.622459331,0.529052411,200,10,0
3:6:4:755,200,10,0.622459331,0.755257174,200,10,0
3:6:6:613,200,10,0.5,0.285165956,200,10,0
3:6:8:444,200,10,0.731058579,0.951379646,200,10,0
3:6:10:192,200,10,0.5,0.888283184,200,10,0
3:6:11:983,200,10,0.5,0.609796289,200,10,0
3:6:13:780,200,10,0.5,0.345967045,200,10,0
3:6:15:550,200,10,0.622459331,0.875027287,200,10,0
3:6:17:356,200,10,0.5,0.5632409,200,10,0
3:6:19:125,200,10,0.5,0.40699048,200,10,0
3:6:20:894,200,10,0.622459331,0.849148212,200,10,0
3:6:22:665,200,10,0.5,0.479934117,200,10,0
3:6:24:431,200,10,0.731058579,0.917966272,200,10,0
3:6:26:179,200,10,0.5,0.759913708,200,10,0
3:6:28:4,200,10,0.731058579,0.720123065,200,10,0
3:6:29:954,200,10,0.731058579,0.737235502,200,10,0
3:6:31:792,200,10,0.5,0.317494914,200,10,0
3:6:33:554,200,10,0.622459331,0.856571832,200,10,0
3:6:35:334,200,10,0.731058579,0.766926941,200,10,0
