time,p1,p2,performance,prediction,mod1,mod 2,param cost,goal
22:0:27:343,350,130,0,0.987146631,219.53125,66.8359375,0.048828125,0.09
22:0:39:118,219.53125,66.8359375,0.09,0.984461867,206.640625,62.32421875,0.016601563,0.09
22:0:50:929,206.640625,62.32421875,0.05,0.980303509,508.59375,168.0078125,0.771484375,0.09
22:1:2:780,508.59375,168.0078125,0.05,0.973518576,219.53125,66.8359375,0.048828125,0.09
22:1:14:655,219.53125,66.8359375,0.07,0.961291955,206.640625,62.32421875,0.016601563,0.09
22:1:26:632,206.640625,62.32421875,0.04,0.933147445,508.59375,168.0078125,0.771484375,0.09
22:1:38:482,508.59375,168.0078125,0.04,0.845813753,219.53125,66.8359375,0.048828125,0.09
22:1:50:389,219.53125,66.8359375,0.05,0.492183853,206.640625,62.32421875,0.016601563,0.09
22:2:2:268,206.640625,62.32421875,0.03,0.123920181,508.59375,168.0078125,0.771484375,0.09
22:2:14:149,508.59375,168.0078125,0.07,0.113701271,219.53125,66.8359375,0.048828125,0.09
22:2:26:21,219.53125,66.8359375,0.05,0.103344181,206.640625,62.32421875,0.016601563,0.09
22:2:37:911,206.640625,62.32421875,0.07,0.098661585,508.59375,168.0078125,0.771484375,0.09
22:2:49:782,508.59375,168.0078125,0.03,0.089959335,219.53125,66.8359375,0.048828125,0.09
22:3:1:660,219.53125,66.8359375,0.04,0.084521508,206.640625,62.32421875,0.016601563,0.09
22:3:13:539,206.640625,62.32421875,0.02,0.0782876,508.59375,168.0078125,0.771484375,0.09
22:3:25:420,508.59375,168.0078125,0.03,0.074188035,219.53125,66.8359375,0.048828125,0.09
22:3:37:303,219.53125,66.8359375,0.04,0.071537106,206.640625,62.32421875,0.016601563,0.09
22:3:49:179,206.640625,62.32421875,0.08,0.07216367,508.59375,168.0078125,0.771484375,0.09
22:4:1:62,508.59375,168.0078125,0.07,0.072001707,219.53125,66.8359375,0.048828125,0.09
22:4:12:940,219.53125,66.8359375,0.06,0.071111203,206.640625,62.32421875,0.016601563,0.09
22:4:24:820,206.640625,62.32421875,0.04,0.068875264,508.59375,168.0078125,0.771484375,0.09
22:4:36:700,508.59375,168.0078125,0.05,0.067588701,219.53125,66.8359375,0.048828125,0.09
22:4:48:546,219.53125,66.8359375,0.02,0.064496341,206.640625,62.32421875,0.016601563,0.09
