time,spawn,speed,performance,prediction,mod1,mod2,paramcost
3:19:9:154,600,10,0.5,0.98123668,200,10,0
3:19:10:835,200,10,0.5,0.980964828,200,10,0
3:19:12:641,200,10,0.731058579,0.98082011,200,10,0
3:19:14:476,200,10,0.622459331,0.980609144,200,10,0
3:19:16:217,200,10,0.622459331,0.980393732,200,10,0
3:19:18:69,200,10,0.5,0.980097921,200,10,0
3:19:19:903,200,10,0.5,0.979793483,200,10,0
3:19:21:759,200,10,0.731058579,0.979631579,200,10,0
3:19:23:588,200,10,0.622459331,0.979395029,200,10,0
3:19:25:445,200,10,0.5,0.979069637,200,10,0
3:19:27:171,200,10,0.622459331,0.978820536,200,10,0
3:19:29:17,200,10,0.731058579,0.97864373,200,10,0
3:19:30:761,200,10,0.817574476,0.978527072,200,10,0
3:19:32:474,200,10,0.622459331,0.97826558,200,10,0
3:19:34:238,200,10,0.622459331,0.977998021,200,10,0
3:19:35:981,200,10,0.731058579,0.977808182,200,10,0
3:19:37:721,200,10,0.880797078,0.977732535,200,10,0
3:19:39:398,200,10,0.622459331,0.977452418,200,10,0
3:19:41:201,200,10,0.817574476,0.977323681,200,10,0
3:19:42:908,200,10,0.952574127,0.977303577,200,10,0
3:19:44:685,200,10,0.731058579,0.977102431,200,10,0
3:19:46:429,200,10,0.622459331,0.976807142,200,10,0
3:19:48:132,200,10,0.622459331,0.976504624,200,10,0
3:19:49:908,200,10,0.5,0.976086468,200,10,0
3:19:51:645,200,10,0.622459331,0.975765983,200,10,0
3:19:53:388,200,10,0.622459331,0.975437362,200,10,0
3:19:55:237,200,10,0.5,0.974982327,200,10,0
3:19:56:980,200,10,0.880797078,0.974889573,200,10,0
3:19:58:716,200,10,0.731058579,0.974647018,200,10,0
3:20:0:461,200,10,0.622459331,0.974289303,200,10,0
3:20:2:198,200,10,0.731058579,0.97403596,200,10,0
3:20:3:939,200,10,0.952574127,0.974013275,200,10,0
3:20:5:679,200,10,0.817574476,0.973847195,200,10,0
3:20:7:418,200,10,0.5,0.973334648,200,10,0
3:20:9:159,200,10,0.5,0.97280292,200,10,0
3:20:10:899,200,10,0.5,0.972250965,200,10,0
3:20:12:640,200,10,0.5,0.971677665,200,10,0
3:20:14:382,200,10,0.622459331,0.97123767,200,10,0
3:20:16:122,200,10,0.622459331,0.970784873,200,10,0
3:20:17:855,200,10,0.5,0.970153161,200,10,0
3:20:19:604,200,10,0.817574476,0.969941254,200,10,0
3:20:21:462,200,10,0.622459331,0.969449845,200,10,0
3:20:23:291,200,10,0.622459331,0.968943456,200,10,0
