time,spawn,speed,performance,predication,mod1,mod2,paramcost
3:24:27:932,600,10,0.5,0.81007002,200,10,0
3:24:29:672,200,10,0.5,0.024597384,200,10,0
3:24:31:523,200,10,0.5,0.079307015,200,10,0
3:24:33:359,200,10,0.5,0.698853725,200,10,0
3:24:35:216,200,10,0.880797078,0.992839038,200,10,0
3:24:37:50,200,10,0.622459331,0.99052507,200,10,0
3:24:38:886,200,10,0.622459331,0.986340981,200,10,0
3:24:40:732,200,10,0.731058579,0.980385523,200,10,0
3:24:42:504,200,10,0.731058579,0.967685862,200,10,0
3:24:44:316,200,10,0.731058579,0.931505625,200,10,0
3:24:46:142,200,10,0.731058579,0.777033278,200,10,0
3:24:48:2,200,10,0.817574476,0.880294964,200,10,0
3:24:49:861,200,10,0.731058579,0.580166882,200,10,0
3:24:51:684,200,10,0.952574127,0.999951996,200,10,0
3:24:53:427,200,10,0.5,0.999951871,200,10,0
3:24:55:281,200,10,0.622459331,0.999951776,200,10,0
3:24:57:113,200,10,0.5,0.99995165,200,10,0
3:24:58:971,200,10,0.731058579,0.999951581,200,10,0
3:25:0:802,200,10,0.952574127,0.999951569,200,10,0
3:25:2:646,200,10,0.952574127,0.999951557,200,10,0
3:25:4:505,200,10,0.731058579,0.999951489,200,10,0
3:25:6:333,200,10,0.817574476,0.999951442,200,10,0
3:25:8:186,200,10,0.731058579,0.999951373,200,10,0
3:25:10:18,200,10,0.731058579,0.999951304,200,10,0
3:25:11:813,200,10,0.5,0.999951176,200,10,0
3:25:13:642,200,10,0.880797078,0.999951145,200,10,0
3:25:15:447,200,10,0.622459331,0.999951047,200,10,0
3:25:17:305,200,10,0.731058579,0.999950977,200,10,0
3:25:19:132,200,10,0.731058579,0.999950907,200,10,0
3:25:20:875,200,10,0.817574476,0.999950859,200,10,0
3:25:22:615,200,10,0.731058579,0.999950789,200,10,0
3:25:24:468,200,10,0.5,0.999950657,200,10,0
3:25:26:311,200,10,0.817574476,0.999950609,200,10,0
3:25:28:46,200,10,0.5,0.999950476,200,10,0
3:25:29:883,200,10,0.880797078,0.999950445,200,10,0
3:25:31:741,200,10,0.880797078,0.999950413,200,10,0
3:25:33:569,200,10,0.880797078,0.999950381,200,10,0
3:25:35:366,200,10,0.731058579,0.999950309,200,10,0
