time,spawnrate,playerspeed,performance,prediction,m1,m2,paramcost
1:30:46:315,600,10,0.549833997,0.968052294,200,10,0
1:30:47:992,200,10,0.731058579,0.955380924,200.6430205,10.03268709,0.955380924
1:30:49:678,200.6430205,10.03268709,0.731058579,0.931612855,385.8398438,45.47851563,0.931612855
1:30:51:407,385.8398438,45.47851563,0.622459331,0.843238517,200,10,0.843238517
1:30:53:154,200,10,0.880797078,0.871715062,200.9755685,10.04959172,0.871715062
1:30:54:903,200.9755685,10.04959172,0.5,0.490393456,416.2109375,23.046875,0.490393456
1:30:56:728,416.2109375,23.046875,0.622459331,0.818927794,200,10,0.818927794
1:30:58:560,200,10,0.5,0.330436202,598.5874463,49.92819472,0.330436202
1:31:0:351,598.5874463,49.92819472,0.731058579,0.968634869,300,45,0.968634869
1:31:2:122,300,45,0.731058579,0.95658899,200,10,0.95658899
1:31:3:870,200,10,0.5,0.901030948,200.9804107,10.04983787,0.901030948
1:31:5:640,200.9804107,10.04983787,0.5,0.634410026,500.78125,33.58398438,0.634410026
1:31:7:376,500.78125,33.58398438,0.5,0.291661716,200,10,0.291661716
1:31:9:179,200,10,0.952574127,0.995430383,200.1424573,10.00724162,0.995430383
1:31:10:974,200.1424573,10.00724162,0.5,0.994927103,542.7734375,30.62011719,0.994927103
1:31:12:815,542.7734375,30.62011719,0.5,0.99430555,200,10,0.99430555
1:31:14:640,200,10,0.5,0.993520202,200.1885393,10.00958415,0.993520202
1:31:16:364,200.1885393,10.00958415,0.5,0.992499598,328.125,49.85107422,0.992499598
1:31:18:87,328.125,49.85107422,0.5,0.991125447,200,10,0.991125447
1:31:19:860,200,10,0.92414182,0.990882898,200.2462435,10.01251746,0.990882898
1:31:21:636,200.2462435,10.01251746,0.622459331,0.989385467,444.3359375,21.88720703,0.989385467
1:31:23:397,444.3359375,21.88720703,0.5,0.986590018,200,10,0.986590018
1:31:25:137,200,10,0.5,0.982064489,200.4072454,10.02070178,0.982064489
1:31:26:956,200.4072454,10.02070178,0.5,0.973786033,484.7167969,24.95117188,0.973786033
1:31:28:741,484.7167969,24.95117188,0.5,0.955437357,200,10,0.955437357
1:31:30:528,200,10,0.622459331,0.918739727,200.9907048,10.05036115,0.918739727
1:31:32:334,200.9907048,10.05036115,0.5,0.736182839,282.2265625,38.26171875,0.736182839
1:31:34:155,282.2265625,38.26171875,0.5,0.267800083,200,10,0.267800083
1:31:35:936,200,10,0.622459331,0.886650986,201.0998584,10.05590983,0.886650986
1:31:37:713,201.0998584,10.05590983,0.5,0.588265817,286.328125,10.71289063,0.588265817
1:31:39:520,286.328125,10.71289063,0.5,0.361361363,200,10,0.361361363
1:31:41:252,200,10,0.731058579,0.957407292,200.7132375,10.03625647,0.957407292
1:31:43:11,200.7132375,10.03625647,0.5,0.909146596,491.40625,27.98339844,0.909146596
1:31:44:845,491.40625,27.98339844,0.622459331,0.784263489,200,10,0.784263489
1:31:46:569,200,10,0.817574476,0.821916567,201.0702108,10.05440274,0.821916567
1:31:48:327,201.0702108,10.05440274,0.731058579,0.72432968,365.8203125,26.53320313,0.72432968
1:31:49:954,365.8203125,26.53320313,0.5,0.285362332,200,10,0.285362332
1:31:51:744,200,10,0.622459331,0.875269383,201.0317938,10.05244986,0.875269383
1:31:53:498,201.0317938,10.05244986,0.5,0.563220442,561.9140625,11.41601563,0.563220442
1:31:55:257,561.9140625,11.41601563,0.5,0.406345145,200,10,0.406345145
1:31:56:998,200,10,0.880797078,0.986023238,200.3007673,10.0152891,0.986023238
1:31:58:759,200.3007673,10.0152891,0.5,0.981562427,516.6992188,27.43652344,0.981562427
1:32:0:532,516.6992188,27.43652344,0.5,0.973721179,200,10,0.973721179
1:32:2:254,200,10,0.5,0.95752005,200.573437,10.02914991,0.95752005
1:32:3:988,200.573437,10.02914991,0.5,0.914253945,369.2382813,27.96386719,0.914253945
1:32:5:753,369.2382813,27.96386719,0.622459331,0.812893842,200,10,0.812893842
1:32:7:473,200,10,0.622459331,0.588707891,599.7318409,49.9863685,0.588707891
1:32:9:172,599.7318409,49.9863685,0.880797078,0.954572467,450,45,0.954572467
1:32:10:969,450,45,0.731058579,0.934916067,200,10,0.934916067
1:32:12:678,200,10,0.817574476,0.915917894,200.6353629,10.03229783,0.915917894
1:32:14:365,200.6353629,10.03229783,0.5,0.762846074,486.5234375,31.24511719,0.762846074
1:32:16:44,486.5234375,31.24511719,0.5,0.359041219,200,10,0.359041219
1:32:17:751,200,10,0.817574476,0.961484156,200.3436952,10.01747129,0.961484156
1:32:19:467,200.3436952,10.01747129,0.5,0.929751457,514.5996094,31.953125,0.929751457
1:32:21:295,514.5996094,31.953125,0.5,0.82853273,200,10,0.82853273
1:32:23:7,200,10,0.731058579,0.74933498,599.8095164,49.99031703,0.74933498
1:32:24:781,599.8095164,49.99031703,0.5,0.37852356,250,10,0.37852356
1:32:26:517,250,10,0.5,0.612171433,200,49.99717263,0.612171433
