time,spawnrate,playerspeed,performance,prediction,m1,m2,paramcost
2:9:44:654,600,10,0.549833997,0.8630903,200,10,0
2:9:46:384,200,10,0.5,0.445584645,200,10,0
2:9:48:124,200,10,0.5,0.605073288,200,10,0
2:9:49:803,200,10,0.5,0.314760948,200,10,0
2:9:51:723,200,10,0.622459331,0.917142291,200,10,0
2:9:53:481,200,10,0.5,0.708618427,200,10,0
2:9:55:320,200,10,0.622459331,0.509757035,200,10,0
2:9:57:156,200,10,0.622459331,0.799655665,200,10,0
2:9:59:206,200,10,0.5,0.287777224,200,10,0
2:10:1:53,200,10,0.731058579,0.968341761,200,10,0
2:10:2:881,200,10,0.5,0.939291296,200,10,0
2:10:4:656,200,10,0.5,0.825301329,200,10,0
2:10:6:424,200,10,0.952574127,0.918370811,200,10,0
2:10:8:169,200,10,0.622459331,0.797582007,200,10,0
2:10:9:904,200,10,0.5,0.289471886,200,10,0
2:10:11:641,200,10,0.731058579,0.967147031,200,10,0
2:10:13:354,200,10,0.880797078,0.962797869,200,10,0
2:10:15:131,200,10,0.622459331,0.935934641,200,10,0
2:10:16:832,200,10,0.731058579,0.891539999,200,10,0
2:10:18:542,200,10,0.622459331,0.709028345,200,10,0
2:10:20:289,200,10,0.731058579,0.750793232,200,10,0
2:10:22:7,200,10,0.5,0.252031133,200,10,0
2:10:23:784,200,10,0.5,0.749318339,200,10,0
2:10:25:633,200,10,0.5,0.253529983,200,10,0
2:10:27:637,200,10,0.5,0.747805524,200,10,0
2:10:29:396,200,10,0.622459331,0.498887118,200,10,0
2:10:31:315,200,10,0.5,0.502101779,200,10,0
2:10:33:182,200,10,0.622459331,0.801778619,200.4616171,10.0875346,0.301778619
2:10:34:903,200.4616171,10.0875346,0.5,0.307588251,347.1679688,13.17382813,0
2:10:36:662,347.1679688,13.17382813,0.622459331,0.906470388,200,10,0
2:10:38:459,200,10,0.731058579,0.830982376,200,10,0
2:10:40:199,200,10,0.622459331,0.564249042,200,10,0
2:10:41:998,200,10,0.622459331,0.71305283,200,10,0
2:10:43:830,200,10,0.5,0.254701963,200,10,0
2:10:45:573,200,10,0.731058579,0.953827719,200,10,0
2:10:47:471,200,10,0.731058579,0.93006588,200,10,0
2:10:49:264,200,10,0.731058579,0.881685338,200,10,0
2:10:51:87,200,10,0.817574476,0.846832303,200,10,0
2:10:52:861,200,10,0.5,0.426925432,200,10,0
2:10:54:627,200,10,0.622459331,0.861962457,200,10,0
2:10:56:350,200,10,0.731058579,0.758395856,200,10,0
2:10:58:120,200,10,0.5,0.279885657,200,10,0
2:10:59:911,200,10,0.622459331,0.890311549,200,10,0
2:11:1:688,200,10,0.622459331,0.723033172,200,10,0
2:11:3:509,200,10,0.731058579,0.73673462,200,10,0
2:11:5:287,200,10,0.622459331,0.517570823,599.4589379,49.89740032,0.017570823
2:11:7:41,599.4589379,49.89740032,0.622459331,0.769119618,450,30,0
2:11:8:817,450,30,0.92414182,0.916045179,200,10,0
2:11:10:671,200,10,0.731058579,0.855192861,200.6317201,10.11979048,0.355192861
2:11:12:416,200.6317201,10.11979048,0.5,0.471741833,545.1171875,15.72265625,0
2:11:14:150,545.1171875,15.72265625,0.5,0.547157522,200,10,0
2:11:15:985,200,10,0.5,0.422625666,200,10,0
2:11:17:726,200,10,0.5,0.62211893,200,10,0
2:11:19:466,200,10,0.731058579,0.830800997,200,10,0
