time,spawn,speed,performance,prediction,m1,m2,paramcost
3:10:48:333,600,10,0.5,0.966676169,200,10,0
3:10:50:71,200,10,0.5,0.932982579,200,10,0
3:10:51:819,200,10,0.5,0.788025848,200,10,0
3:10:53:532,200,10,0.5,0.263039735,200,10,0
3:10:55:299,200,10,0.622459331,0.9137328,200,10,0
3:10:57:163,200,10,0.731058579,0.840253716,200,10,0
3:10:59:7,200,10,0.5,0.36408196,200,10,0
3:11:0:781,200,10,0.622459331,0.912462007,200,10,0
3:11:2:646,200,10,0.622459331,0.772268272,200,10,0
3:11:4:519,200,10,0.5,0.25027583,200,10,0
3:11:6:332,200,10,0.622459331,0.907244937,200,10,0
3:11:8:138,200,10,0.731058579,0.826979917,200,10,0
3:11:9:946,200,10,0.5,0.333480717,200,10,0
3:11:11:663,200,10,0.622459331,0.916965884,200,10,0
3:11:13:398,200,10,0.817574476,0.884677992,200,10,0
3:11:15:142,200,10,0.5,0.537500111,200,10,0
3:11:16:872,200,10,0.5,0.426174719,200,10,0
3:11:18:650,200,10,0.5,0.638687442,200,10,0
3:11:20:487,200,10,0.622459331,0.596251621,200,10,0
3:11:22:289,200,10,0.5,0.326800473,200,10,0
3:11:24:183,200,10,0.5,0.751493638,200,10,0
3:11:26:46,200,10,0.622459331,0.487773053,200,10,0
3:11:27:833,200,10,0.5,0.524367113,200,10,0
3:11:29:618,200,10,0.5,0.451697769,200,10,0
3:11:31:375,200,10,0.5,0.593805523,200,10,0
3:11:33:208,200,10,0.5,0.330749284,200,10,0
3:11:34:915,200,10,0.622459331,0.915932127,200,10,0
3:11:36:644,200,10,0.817574476,0.883481756,200,10,0
3:11:38:411,200,10,0.731058579,0.781675089,200,10,0
3:11:40:151,200,10,0.5,0.264946463,200,10,0
3:11:41:852,200,10,0.5,0.762017821,200,10,0
3:11:43:636,200,10,0.5,0.250043785,200,10,0
3:11:45:372,200,10,0.622459331,0.902139259,200,10,0
3:11:47:108,200,10,0.731058579,0.818314122,200,10,0
3:11:48:849,200,10,0.880797078,0.874910505,200,10,0
3:11:50:564,200,10,0.5,0.5005174,599.4392075,49.98067384,0.0005174
3:11:52:328,599.4392075,49.98067384,0.5,0.498988479,300,15,0.001011521
3:11:54:72,300,15,0.880797078,0.989054742,200,10,0.489054742
3:11:55:813,200,10,0.622459331,0.986817007,200,10,0
3:11:57:577,200,10,0.5,0.982284952,200,10,0
3:11:59:313,200,10,0.5,0.973878467,200,10,0
3:12:1:5,200,10,0.5,0.954767955,200,10,0
3:12:2:755,200,10,0.731058579,0.930534051,200,10,0
3:12:4:530,200,10,0.5,0.783871915,200,10,0
3:12:6:370,200,10,0.5,0.276628267,200,10,0
3:12:8:113,200,10,0.880797078,0.990697127,200,10,0
3:12:9:859,200,10,0.622459331,0.989115963,200,10,0
3:12:11:573,200,10,0.5,0.98612748,200,10,0
3:12:13:289,200,10,0.5,0.981189348,200,10,0
3:12:15:78,200,10,0.731058579,0.976796436,200,10,0
3:12:16:840,200,10,0.5,0.96228677,200,10,0
3:12:18:669,200,10,0.731058579,0.94541562,200,10,0
3:12:20:365,200,10,0.817574476,0.92744026,200,10,0
3:12:22:98,200,10,0.952574127,0.932505225,200,10,0
