time,p1,p2,performance,prediction,mod1,mod2,param cost
3:51:1:178,600,10,0,0.944712318,200,10,0
3:51:2:891,200,10,0,0.608113467,200,10,0
3:51:4:637,200,10,0,0.00138812,200,10,0
3:51:6:373,200,10,0.04,0.001391837,200.1030535,10.01321615,0.028608163
3:51:8:116,200.1030535,10.01321615,0.02,0.001393637,524.2675781,16.30859375,0
3:51:9:956,524.2675781,16.30859375,0.08,0.001401276,200,10,0
3:51:11:810,200,10,0,0.001401139,200,10,0
3:51:13:644,200,10,0,0.001401001,200.1036604,10.01329397,0.028598999
3:51:15:494,200.1036604,10.01329397,0,0.001400864,296.5576172,21.89941406,0.028599136
3:51:17:238,296.5576172,21.89941406,0.04,0.001404649,200,10,0.028595351
3:51:18:972,200,10,0.1,0.001414388,200,10,0
3:51:20:718,200,10,0.02,0.001416244,200,10,0
3:51:22:549,200,10,0.04,0.001420109,200,10,0
3:51:24:290,200,10,0,0.001419967,200,10,0
3:51:26:36,200,10,0,0.001419824,200.1049052,10.01345361,0.028580176
3:51:27:897,200.1049052,10.01345361,0.02,0.001421693,352.1118164,34.43359375,0.028578307
3:51:29:720,352.1118164,34.43359375,0.06,0.001427612,200,10,0
3:51:31:461,200,10,0.12,0.001439716,200,10,0
3:51:33:202,200,10,0.02,0.001441636,200,10,0
3:51:34:943,200,10,0.04,0.001445638,200,10,0
3:51:36:681,200,10,0.04,0.001449662,200,10,0
3:51:38:414,200,10,0.06,0.001455811,200,10,0
3:51:40:279,200,10,0.04,0.00145989,200,10,0
3:51:42:18,200,10,0.04,0.001463992,200,10,0
3:51:43:852,200,10,0.02,0.001465974,200,10,0
3:51:45:592,200,10,0.02,0.001467961,200,10,0
3:51:47:334,200,10,0.02,0.001469954,200,10,0
3:51:49:192,200,10,0,0.001469795,200,10,0
3:51:50:928,200,10,0.02,0.001471793,200.1083307,10.01389292,0.028528207
3:51:52:672,200.1083307,10.01389292,0.02,0.001473795,336.0717773,45.90820313,0
3:51:54:502,336.0717773,45.90820313,0.02,0.001475803,200,10,0
3:51:56:241,200,10,0.18,0.001495314,200,10,0
3:51:57:980,200,10,0.08,0.001504089,200,10,0
3:51:59:841,200,10,0.02,0.001506176,200,10,0
3:52:1:579,200,10,0,0.001506006,200,10,0
3:52:3:314,200,10,0.06,0.001512632,200.1110112,10.01423668,0.028487368
3:52:5:57,200.1110112,10.01423668,0,0.00151246,267.1386719,19.99023438,0
3:52:6:795,267.1386719,19.99023438,0,0.001512288,200,10,0.028487712
3:52:8:631,200,10,0.04,0.001516681,200.1112764,10.01427069,0.028483319
3:52:10:485,200.1112764,10.01427069,0.02,0.001518801,272.7294922,47.1875,0
3:52:12:321,272.7294922,47.1875,0.04,0.001523231,200,10,0
3:52:14:61,200,10,0,0.001523055,200,10,0
3:52:15:804,200,10,0.02,0.001525192,200.1118336,10.01434214,0.028474808
3:52:17:543,200.1118336,10.01434214,0.02,0.001527335,400.9277344,27.84423828,0
3:52:19:281,400.9277344,27.84423828,0,0.001527158,200,10,0
3:52:21:24,200,10,0,0.00152698,200.1119506,10.01435715,0.02847302
3:52:22:765,200.1119506,10.01435715,0,0.001526803,225.5126953,13.77441406,0.028473197
3:52:24:504,225.5126953,13.77441406,0.02,0.00152895,200,10,0.02847105
3:52:26:246,200,10,0.08,0.001538118,200,10,0
3:52:28:100,200,10,0,0.001537936,200,10,0
3:52:29:842,200,10,0,0.001537755,200.1126552,10.01444752,0.028462245
3:52:31:674,200.1126552,10.01444752,0.02,0.001539932,221.5576172,12.51708984,0.028460068
3:52:33:415,221.5576172,12.51708984,0.04,0.001544483,200,10,0
3:52:35:158,200,10,0.06,0.001551445,200,10,0
3:52:36:897,200,10,0,0.001551259,200,10,0
