time,spawnrate,playerspeed,performance,prediction,m1,m2,paramcost
1:24:14:870,600,10,0.5,0.975360446,200,10,0
1:24:16:551,200,10,0.731058579,0.95510665,200.7438397,10.05259656,0.95510665
1:24:18:383,200.7438397,10.05259656,0.5,0.731570363,219.6289063,23.79882813,0.731570363
1:24:20:172,219.6289063,23.79882813,0.5,0.022968058,200,10,0.022968058
1:24:22:28,200,10,0.817574476,0.131675432,598.4458852,49.89010856,0.131675432
1:24:23:843,598.4458852,49.89010856,0.880797078,0.999020087,200,45,0.999020087
1:24:25:667,200,45,0.993307149,0.99901951,200.0033344,10,0.99901951
1:24:27:436,200.0033344,10,0.880797078,0.999007487,202.4810791,10.00323769,0.999007487
1:24:29:216,202.4810791,10.00323769,0.5,0.998954453,300,11.7791748,0.998954453
1:24:31:13,300,11.7791748,0.622459331,0.998910319,200,30,0.998910319
1:24:32:752,200,30,0.952574127,0.998904528,200.0077314,10,0.998904528
1:24:34:495,200.0077314,10,0.622459331,0.998856072,545.3491211,10.00366126,0.998856072
1:24:36:298,545.3491211,10.00366126,0.5,0.998785517,200,30.14465332,0.998785517
1:24:38:255,200,30.14465332,0.622459331,0.998725936,200.00874,30,0.998725936
1:24:40:122,200.00874,30,0.5,0.998638289,464.7445679,10,0.998638289
1:24:41:882,464.7445679,10,0.5,0.998538065,350,10.00004957,0.998538065
1:24:43:764,350,10.00004957,0.5,0.998422403,200,26.03749275,0.998422403
1:24:45:698,200,26.03749275,0.5,0.998287516,200.0142704,45,0.998287516
1:24:47:504,200.0142704,45,0.5,0.998128289,243.1030273,10,0.998128289
1:24:49:383,243.1030273,10,0.622459331,0.997986231,200,10.00163974,0.997986231
1:24:51:171,200,10.00163974,0.5,0.997765106,200.091737,26.59088135,0.997765106
1:24:52:960,200.091737,26.59088135,0.5,0.997491853,270.0561523,20,0.997491853
1:24:54:837,270.0561523,20,0.880797078,0.997414705,200,10,0.997414705
1:24:56:678,200,10,0.5,0.997047055,200.1159003,10.00819527,0.997047055
1:24:58:467,200.1159003,10.00819527,0.5,0.99656455,387.7929688,18.56079102,0.99656455
1:25:0:248,387.7929688,18.56079102,0.5,0.995906214,200,10,0.995906214
1:25:2:193,200,10,0.622459331,0.995212578,200.1722557,10.01218014,0.995212578
1:25:3:984,200.1722557,10.01218014,0.5,0.993903744,553.4423828,17.74169922,0.993903744
1:25:5:779,553.4423828,17.74169922,0.5,0.99173102,200,10,0.99173102
1:25:7:563,200,10,0.5,0.987572092,200.36248,10.02563082,0.987572092
1:25:9:371,200.36248,10.02563082,0.5,0.977439444,450.4394531,16.89941406,0.977439444
1:25:11:238,450.4394531,16.89941406,0.622459331,0.951808924,200,10,0.951808924
1:25:13:20,200,10,0.622459331,0.815908987,201.3180684,10.09319955,0.815908987
1:25:14:927,201.3180684,10.09319955,0.880797078,0.919884618,273.6328125,14.08203125,0.919884618
1:25:16:674,273.6328125,14.08203125,0.5,0.360754129,200,10,0.360754129
1:25:18:520,200,10,0.622459331,0.994312411,200.1941491,10.0137282,0.994312411
1:25:20:347,200.1941491,10.0137282,0.5,0.992501666,312.3046875,20.06103516,0.992501666
1:25:22:162,312.3046875,20.06103516,0.731058579,0.990925643,200,10,0.990925643
1:25:24:51,200,10,0.880797078,0.990005902,200.2941192,10.02079703,0.990005902
1:25:25:880,200.2941192,10.02079703,0.5,0.984030483,467.0410156,32.30712891,0.984030483
1:25:27:714,467.0410156,32.30712891,0.622459331,0.972669892,200,10,0.972669892
1:25:29:533,200,10,0.622459331,0.936334965,200.8661034,10.0612415,0.936334965
1:25:31:347,200.8661034,10.0612415,0.5,0.575253185,470.8007813,29.51171875,0.575253185
1:25:33:152,470.8007813,29.51171875,0.5,0.212441425,200,10,0.212441425
1:25:34:956,200,10,0.622459331,0.990146203,200.2200823,10.01556181,0.990146203
1:25:36:938,200.2200823,10.01556181,0.5,0.984798748,223.4375,13.07617188,0.984798748
1:25:38:738,223.4375,13.07617188,0.5,0.971259828,200,10,0.971259828
1:25:40:513,200,10,0.5,0.915629501,200.3289055,10.02325537,0.915629501
1:25:42:428,200.3289055,10.02325537,0.731058579,0.771717052,376.2695313,34.97070313,0.771717052
1:25:44:209,376.2695313,34.97070313,0.5,0.080249571,200,10,0.080249571
1:25:46:8,200,10,0.731058579,0.730566947,598.1873643,49.87182445,0.730566947
1:25:47:897,598.1873643,49.87182445,0.731058579,0.731862025,500,35,0.731862025
1:25:49:660,500,35,0.970687769,0.986463763,200,10,0.986463763
1:25:51:405,200,10,0.731058579,0.982297956,200.0424688,10.0030024,0.982297956
1:25:53:227,200.0424688,10.0030024,0.5,0.966612372,447.4121094,25.16906738,0.966612372
